trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,J,h,dt,n_trotter_steps,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h
1,13,1e-08,4,"(8, 8)",col_based,64,64,1,1.0,1.0,0.00146,1,0.9998396961584028,0.9999745883046111,0.9999936086262005,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
2,13,1e-08,4,"(8, 8)",col_based,64,64,1,1.0,1.0,0.00146,1,0.9998397116925739,0.9999745883046111,0.9999936241627627,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
3,13,1e-08,4,"(8, 8)",col_based,64,64,1,1.0,1.0,0.00146,1,0.9998397932469774,0.9999745883046111,0.9999937057297205,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
4,13,1e-08,4,"(8, 8)",col_based,64,64,1,1.0,1.0,0.00146,1,0.9998398485874678,0.9999745883046111,0.9999937610787298,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
0,13,1e-08,4,"(8, 8)",col_based,64,64,2,1.0,1.0,0.00146,1,0.9998397728583759,0.9999745883046111,0.9999936853379802,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
1,13,1e-08,4,"(8, 8)",col_based,64,64,2,1.0,1.0,0.00146,1,0.9998396961584028,0.9999745883046111,0.9999936086262005,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
2,13,1e-08,4,"(8, 8)",col_based,64,64,2,1.0,1.0,0.00146,1,0.9998397116925739,0.9999745883046111,0.9999936241627627,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
3,13,1e-08,4,"(8, 8)",col_based,64,64,2,1.0,1.0,0.00146,1,0.9998397932469774,0.9999745883046111,0.9999937057297205,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
4,13,1e-08,4,"(8, 8)",col_based,64,64,2,1.0,1.0,0.00146,1,0.9998398485874678,0.9999745883046111,0.9999937610787298,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
0,13,1e-08,4,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9998397728583759,0.9999745883046111,0.9999936853379802,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
1,13,1e-08,4,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9998396961584028,0.9999745883046111,0.9999936086262005,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
2,13,1e-08,4,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9998397116925739,0.9999745883046111,0.9999936241627627,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
3,13,1e-08,4,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9998397932469774,0.9999745883046111,0.9999937057297205,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
4,13,1e-08,4,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9998398485874678,0.9999745883046111,0.9999937610787298,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
0,13,1e-08,4,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9998397728583759,0.9999745883046111,0.9999936853379802,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
1,13,1e-08,4,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9998396961584028,0.9999745883046111,0.9999936086262005,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
2,13,1e-08,4,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9998397116925739,0.9999745883046111,0.9999936241627627,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
3,13,1e-08,4,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9998397932469774,0.9999745883046111,0.9999937057297205,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
4,13,1e-08,4,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9998398485874678,0.9999745883046111,0.9999937610787298,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
0,13,1e-08,4,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9998397728583759,0.9999745883046111,0.9999936853379802,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
1,13,1e-08,4,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9998396961584028,0.9999745883046111,0.9999936086262005,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
2,13,1e-08,4,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9998397116925739,0.9999745883046111,0.9999936241627627,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
3,13,1e-08,4,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9998397932469774,0.9999745883046111,0.9999937057297205,0.99999990236378,0.9998726481086642,0.9999989784118476,0.999999965947041
